matrix_id,err_phimv,err_phi_funm,kappa,kappa_tol
51,2.09273535071639e-16,1.86513847107033e-16,4.26415020033624,4.73415773287327e-16
52,1.64248285192931e-16,1.61301974544571e-16,2.58507832973388,2.87001348213009e-16
53,1.43355814684646e-16,2.16799652222138e-16,4.59225473070673,5.09842693697441e-16
54,1.99496919638994e-16,2.18941257942767e-16,2.81058654594688,3.12037789601191e-16
55,1.3394220320873e-16,1.2703300059415e-16,2.86428324404633,3.17999320658827e-16
56,3.53499996438193e-16,1.62479256526371e-16,284.57744662548,3.15944433532644e-14
57,1.40247449846629e-16,1.38877529358225e-15,1534.09068214338,1.7031827971785e-13
58,2.90953598472105e-14,2.47699133100015e-15,1430.97867586625,1.58870547369433e-13
59,2.67652018440814e-16,1.70822566204551e-16,5.70234773601883,6.33087775094724e-16
60,2.15394321657756e-16,1.49316452540253e-16,6.27352230997031,6.96500891402863e-16
61,2.01363350347569e-14,4.03741687868873e-15,63.8417749184897,7.08786084474441e-15
62,5.81595163581702e-16,2.31456992235635e-16,12.1716105650009,1.35132022960348e-15
63,6.65594629110715e-15,2.78332940023826e-16,26.4432829745239,2.93579416049948e-15
64,2.38026319199517e-16,2.28646081554372e-15,120.406616067945,1.33678197475834e-14
65,2.60165137383752e-16,1.67793141586228e-16,3.77569398437468,4.19186239539147e-16
66,1.06822161937404e-16,1.11347925520211e-16,8.61341545227729,9.56281215578035e-16
67,4.93920889753116e-12,5.2660563152401e-12,7441247665.8267,8.261444490539e-07
68,3.14783572644242e-11,1.8780912958678e-09,40204087711.6161,4.46355038614855e-06
69,1.61685879003107e-16,1.98637743573783e-16,10.7774868230001,1.19654140184889e-15
70,1.57008896991737e-16,4.61072781885684e-17,4.19019205581599e+31,4.65204769796833e+15
71,6.07662113249092e-10,3.65190730097501e-10,15447822.5835935,1.71505283126299e-09
72,6.56749201866795e-09,1.1077080377466e-12,82284658519466.4,0.00913543224617301
73,6.10697144636766e-12,7.62439282533924e-11,2.142293401493e+22,2378423.45984007
74,3.81205666173373e-16,1.48654799922314e-16,2.44998254172039e+54,2.72002702774764e+38
75,5.42291491854923e-13,1.26011875158952e-13,14568475360.5598,1.61742567789777e-06
76,1.01014593027071e-15,1.23094241523963e-16,736.262916827629,8.1741604243971e-14
77,3.68071387393183e-15,1.11374635976775e-14,4489.60803462679,4.98446621158475e-13
78,5.15163471932183e-16,5.65431901762671e-16,8.89700198969756,9.87765645909806e-16
79,3.85848403338783e-16,2.35052877651407e-16,68.7586276634594,7.63374115736009e-15
80,5.13314768260068e-14,1.94922916290193e-16,235240.490752495,2.61169409157541e-11
81,3.85460433736698e-16,9.9355092652056e-16,198.89398616956,2.20816682904923e-14
82,2.37074229888215e-16,1.10012803520039e-16,8.30470073030404,9.2200699634049e-16
83,1.16035236127456e-16,2.72024654452241e-17,21.6916649881917,2.40825859123458e-15
84,2.99660039895676e-16,3.18731537193516e-16,4.80206979376411,5.3313684508939e-16
85,6.57315268971409e-17,1.13801848720389e-16,2.60493220014849,2.89205570619232e-16
86,2.67786534659628e-14,1.00457940110689e-14,6486.86730862132,7.20186944371961e-13
87,1.07187647032251e-16,9.51740966399421e-17,387517324133.214,4.30230655693824e-05
88,4.94490107369786e-16,2.27309899775633e-16,177340830290.321,1.96887872994457e-05
89,1.27633130841118e-10,8.9776107065741e-17,41829958.8054478,4.64405833849299e-09
90,4.4404831484837e-12,2.48624248472322e-16,40464421.9905252,4.49245329720296e-09
91,2.3221818108097e-16,2.49385277251142e-16,4.71156556011013,5.23088856686519e-16
92,3.43682537587561e-16,2.77181796283451e-16,3.42939451646988,3.80739275270812e-16
93,1.56474628616011e-16,9.8534456944389e-17,3.26649441532722,3.62653730970577e-16
94,8.99061064555196e-17,1.04208367408656e-16,3.07956725066505,3.41900646756993e-16
95,1.86643018027314e-16,1.23303372139086e-16,2.65075463777659,2.94292883149149e-16
96,1.04222774964531e-16,1.24798142755693e-16,3.20207967528858,3.55502258218963e-16
97,2.10394598681344e-15,1.51855027449314e-17,26.7824229027844,2.97344625619194e-15
98,1.39954086109817e-16,3.65416541507152e-17,3.34891404273939,3.71804147773979e-16
99,8.05076311450991e-12,1.14424737942764e-08,1544403660.8641,1.7146325036067e-07
100,2.84503077417545e-14,5.12461949900963e-15,283241409.502382,3.14461134356827e-08
101,3.96506890096994e-12,3.37252708994065e-15,58065.7096056765,6.44658877454201e-12
102,1.04488490585681e-13,3.7058481756587e-14,1134213.27705261,1.25922969501935e-10
103,2.78970134430192e-16,1.00262497253295e-16,186.03620663559,2.06541680020756e-14
104,2.83276834094322e-16,1.57098951810675e-16,950.788308411323,1.05558707154266e-13
105,1.08153643369465e-16,1.27777822080811e-15,6.90683638574815e+25,7668128782.7764
106,4.41939255430067e-16,6.42423699443008e-16,21.0378944515525,2.33567548097474e-15
107,3.49033209269233e-13,6.90123849397596e-13,5419.56375660448,6.0169244660063e-13
108,1.37707877261551e-16,1.2582931632161e-16,2.71056491056317,3.00933157344826e-16
